-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.093,  0.247
-183.798, 80.187, 0.208,  0.280
-183.795, 80.178, 0.300,  0.313
-183.791, 80.164, 0.399,  0.346
-183.784, 80.146, 0.550,  0.379
-183.774, 80.123, 0.697,  0.412
-183.761, 80.096, 0.818,  0.445
-183.743, 80.065, 0.983,  0.478
-183.720, 80.030, 1.093,  0.511
-183.693, 79.992, 1.219,  0.544
-183.661, 79.951, 1.339,  0.577
-183.626, 79.908, 1.447,  0.610
-183.589, 79.862, 1.560,  0.643
-183.550, 79.813, 1.662,  0.676
-183.510, 79.763, 1.742,  0.709
-183.469, 79.712, 1.790,  0.742
-183.430, 79.660, 1.801,  0.775
-183.391, 79.610, 1.788,  0.808
-183.352, 79.561, 1.764,  0.841
-183.314, 79.512, 1.738,  0.874
-183.277, 79.465, 1.711,  0.907
-183.240, 79.419, 1.681,  0.940
-183.203, 79.374, 1.651,  0.973
-183.167, 79.330, 1.626,  1.006
-183.132, 79.287, 1.605,  1.039
-183.096, 79.244, 1.592,  1.072
-183.061, 79.202, 1.585,  1.105
-183.026, 79.160, 1.585,  1.138
-182.991, 79.117, 1.591,  1.171
-182.956, 79.075, 1.603,  1.204
-182.921, 79.032, 1.617,  1.237
-182.886, 78.988, 1.634,  1.270
-182.851, 78.944, 1.652,  1.303
-182.815, 78.899, 1.668,  1.336
-182.780, 78.854, 1.681,  1.369
-182.745, 78.809, 1.692,  1.402
-182.711, 78.763, 1.699,  1.435
-182.677, 78.717, 1.702,  1.468
-182.643, 78.671, 1.703,  1.501
-182.609, 78.625, 1.702,  1.534
-182.576, 78.578, 1.700,  1.567
-182.544, 78.532, 1.697,  1.600
-182.512, 78.485, 1.695,  1.633
-182.480, 78.438, 1.694,  1.666
-182.449, 78.391, 1.694,  1.699
-182.418, 78.343, 1.696,  1.732
